Number,First,Len,Rotate,GNU,Rot13,FAQ6,Ly,Rs,Sum
667,0,0,16,0,15,13,20,26,296
668,0,0,15,0,20,20,14,12,292
669,0,0,18,0,13,21,24,23,282
670,0,0,22,0,16,18,20,15,234
671,0,0,31,0,19,21,17,15,230
672,0,0,16,0,18,23,7,26,208
673,0,0,13,0,14,19,14,21,180
674,0,0,18,0,23,21,19,22,154
675,0,0,14,0,24,16,18,22,134
676,0,0,22,0,20,19,19,22,130
677,0,0,14,0,21,19,26,16,124
678,0,0,17,0,26,24,17,17,116
679,0,0,23,0,27,19,18,18,95
680,0,0,19,0,11,17,14,34,72
681,0,0,16,0,16,23,16,30,65
682,0,0,15,0,20,27,15,24,61
683,0,0,14,0,32,18,20,20,55
684,0,0,23,0,22,21,20,17,42
